样本编号,类型,数据库ID,抽样方式,实体名,主语,关系,宾语,定义,别名,观察数,连接度,关系全库频次,证据数,来源位置,Passage IDs,原文证据,人工结论（合格/不合格/不确定）,问题类型（实体边界/重复或误合并/端点/关系/方向/证据/上下文/其他）,建议修改,备注
E01,Entity,1695,Entity全库确定性均匀抽样,深度门控循环神经网络,,,,用门控循环单元（GRU）隐状态替代标准RNN隐状态所构造的深度循环神经网络变体,深度门控循环神经网络,1,1,,,"P004334 section 《动手学深度学习》 > 现代循环神经网络 > 深度循环神经网络 > 函数依赖关系; page 1, chars 624027-624169",["P004334"],与多层感知机一样，隐藏层数目$L$和隐藏单元数目$h$都是超参数。 也就是说，它们可以由我们调整的。 另外，用门控循环单元或长短期记忆网络的隐状态 来代替 :eqref:`eq_deep_rnn_H`中的隐状态进行计算， 可以很容易地得到深度门控循环神经网络或深度长短期记忆神经网络。,合格,,,
E02,Entity,3390,Entity全库确定性均匀抽样,上下文无关表示,,,,任何词元 x 的表示是函数 f(x)，其仅将 x 作为输入，不依赖于上下文。,context-independent representation | 上下文无关表示,1,2,,,"P008156 section 《动手学深度学习》 > 自然语言处理：预训练 > 来自Transformers的双向编码器表示（BERT） > 从上下文无关到上下文敏感; page 1, chars 1297282-1297590",["P008156"],回想一下 :numref:`sec_word2vec_pretraining`和 :numref:`sec_synonyms`中的实验。例如，word2vec和GloVe都将相同的预训练向量分配给同一个词，而不考虑词的上下文（如果有的话）。形式上，任何词元$x$的上下文无关表示是函数$f(x)$，其仅将$x$作为其输入。考虑到自然语言中丰富的多义现象和复杂的语义，上下文无关表示具有明显的局限性。例如，在“a crane is flying”（一只鹤在飞）和“a crane driver came”（一名吊车司机来了）的上下文中，“crane”一词有完全不同的含义；因此，同一个词可以根据上下文被赋予不同的表示。,不合格,,,本质原因是原文证据关系不大
E03,Entity,541,Entity全库确定性均匀抽样,瞬时变化率,,,,导数 f'(x) 的解释，即 f(x) 相对于 x 的变化率，基于 x 中的变化 h 且 h 接近 0。,instantaneous rate of change | 瞬时变化率,1,1,,,"P000713 section 《动手学深度学习》 > 预备知识 > 微积分 > 导数和微分; page 1, chars 81721-81915",["P000713"],如果$f'(a)$存在，则称$f$在$a$处是*可微*（differentiable）的。 如果$f$在一个区间内的每个数上都是可微的，则此函数在此区间中是可微的。 我们可以将 :eqref:`eq_derivative`中的导数$f'(x)$解释为$f(x)$相对于$x$的*瞬时*（instantaneous）变化率。 所谓的瞬时变化率是基于$x$中的变化$h$，且$h$接近$0$。,合格,,,
E04,Entity,2236,Entity全库确定性均匀抽样,简明实现（BatchNorm与LeNet）,,,,本节小节名，介绍利用深度学习框架内置的 BatchNorm 等高级 API 简洁地构建并训练 LeNet 风格网络,**简明实现** | 简明实现,1,1,,,"P003447 section 《动手学深度学习》 > 现代卷积神经网络 > 批量规范化 > [**简明实现**]; page 1, chars 469505-469520; P003448 section 《动手学深度学习》 > 现代卷积神经网络 > 批量规范化 > [**简明实现**]; page 1, chars 469522-469596","[""P003447"", ""P003448""]",#### [**简明实现**] 除了使用我们刚刚定义的`BatchNorm`，我们也可以直接使用深度学习框架中定义的`BatchNorm`。 该代码看起来几乎与我们上面的代码相同。,不合格,,,主要这不是一个entity
E05,Entity,1082,Entity全库确定性均匀抽样,启发式的初始化方法,,,,用于确保初始梯度既不太大也不太小的经验性参数初始化方法。,启发式的初始化方法,1,1,,,"P002089 section 《动手学深度学习》 > 多层感知机 > 数值稳定性和模型初始化 > 小结; page 1, chars 268769-268964",["P002089"],* 梯度消失和梯度爆炸是深度网络中常见的问题。在参数初始化时需要非常小心，以确保梯度和参数可以得到很好的控制。 * 需要用启发式的初始化方法来确保初始梯度既不太大也不太小。 * ReLU激活函数缓解了梯度消失问题，这样可以加速收敛。 * 随机初始化是保证在进行优化前打破对称性的关键。 * Xavier初始化表明，对于每一层，输出的方差不受输入数量的影响，任何梯度的方差不受输出数量的影响。,不合格,,,不是一个entity
E06,Entity,2777,Entity全库确定性均匀抽样,平滑L1范数损失,,,,一种损失函数，在零点附近使用平方函数从而更平滑，通过超参数σ控制平滑区域：当σ非常大时类似于L1范数损失，当σ较小时损失函数更平滑。,smooth_l1 | 平滑L1范数损失,1,2,,,"P007172 section 《动手学深度学习》 > 计算机视觉 > 单发多框检测（SSD） > 练习; page 1, chars 1136103-1136207; P007173 section 《动手学深度学习》 > 计算机视觉 > 单发多框检测（SSD） > 练习; page 1, chars 1136209-1136345; P007174 section 《动手学深度学习》 > 计算机视觉 > 单发多框检测（SSD） > 练习; page 1, chars 1136347-1136394","[""P007172"", ""P007173"", ""P007174""]","1. 能通过改进损失函数来改进单发多框检测吗？例如，将预测偏移量用到的$L_1$范数损失替换为平滑$L_1$范数损失。它在零点附近使用平方函数从而更加平滑，这是通过一个超参数$\sigma$来控制平滑区域的： $$ f(x) = \begin{cases} (\sigma x)^2/2,& \text{if }|x| < 1/\sigma^2\\ |x|-0.5/\sigma^2,& \text{otherwise} \end{cases} $$ 当$\sigma$非常大时，这种损失类似于$L_1$范数损失。当它的值较小时，损失函数较平滑。",合格,,,
E07,Entity,1623,Entity全库确定性均匀抽样,预热期,,,,循环神经网络语言模型中，在正式预测前遍历prefix起始字符、不断将隐状态传递至下一时间步而不生成输出的阶段，使模型自我更新隐状态，以获得比初始值更适于预测的隐状态值。,warm up | warm-up | 预热期,2,3,,,"P004014 section 《动手学深度学习》 > 循环神经网络 > 循环神经网络的从零开始实现 > 小结; page 1, chars 571866-572093",["P004014"],* 我们可以训练一个基于循环神经网络的字符级语言模型，根据用户提供的文本的前缀生成后续文本。 * 一个简单的循环神经网络语言模型包括输入编码、循环神经网络模型和输出生成。 * 循环神经网络模型在训练以前需要初始化状态，不过随机抽样和顺序划分使用初始化方法不同。 * 当使用顺序划分时，我们需要分离梯度以减少计算量。 * 在进行任何预测之前，模型通过预热期进行自我更新（例如，获得比初始值更好的隐状态）。 * 梯度裁剪可以防止梯度爆炸，但不能应对梯度消失。,合格,,,
E08,Entity,3318,Entity全库确定性均匀抽样,中心裁剪,,,,测试时将图像高度和宽度都缩放到256像素后裁剪中央224×224区域作为输入的预处理操作,CenterCrop | 中心裁剪,1,1,,,"P006734 section 《动手学深度学习》 > 计算机视觉 > 微调 > 热狗识别 > 获取数据集; page 1, chars 1047382-1047573; P006738 section 《动手学深度学习》 > 计算机视觉 > 微调 > 热狗识别 > 获取数据集; page 1, chars 1047965-1048176","[""P006734"", ""P006738""]","在训练期间，我们首先从图像中裁切随机大小和随机长宽比的区域，然后将该区域缩放为$224 \times 224$输入图像。 在测试过程中，我们将图像的高度和宽度都缩放到256像素，然后裁剪中央$224 \times 224$区域作为输入。 此外，对于RGB（红、绿和蓝）颜色通道，我们分别*标准化*每个通道。 具体而言，该通道的每个值减去该通道的平均值，然后将结果除以该通道的标准差。 test_augs = gluon.data.vision.transforms.Compose([ gluon.data.vision.transforms.Resize(256), gluon.data.vision.transforms.CenterCrop(224), gluon.data.vision.transforms.ToTensor(), normalize]) ```",不合格,,,定义不对
E09,Entity,469,Entity全库确定性均匀抽样,Alley_nan,,,,对 Alley 列使用 get_dummies 且 dummy_na=True 后生成的二进制列，对应原始 NaN 类别。,Alley_nan,1,2,,,"P000447 section 《动手学深度学习》 > 预备知识 > 数据预处理 > 处理缺失值; page 1, chars 57875-58102",["P000447"],[**对于`inputs`中的类别值或离散值，我们将“NaN”视为一个类别。**] 由于“巷子类型”（“Alley”）列只接受两种类型的类别值“Pave”和“NaN”， `pandas`可以自动将此列转换为两列“Alley_Pave”和“Alley_nan”。 巷子类型为“Pave”的行会将“Alley_Pave”的值设置为1，“Alley_nan”的值设置为0。 缺少巷子类型的行会将“Alley_Pave”和“Alley_nan”分别设置为0和1。,不合格,,,是一个编程里面的例子，不能算entity
E10,Entity,2164,Entity全库确定性均匀抽样,支持向量机,,,,支持向量机是一种监督学习方法，可作为二分类器使用，在多类分类中可为每个类别训练一个支持向量机来判别样本是否属于该类别。,support vector machines | SVM | 支持向量机,3,2,,,"P003099 section 《动手学深度学习》 > 卷积神经网络 > 卷积神经网络（LeNet）; page 1, chars 394456-394612",["P003099"],当时，LeNet取得了与支持向量机（support vector machines）性能相媲美的成果，成为监督学习的主流方法。 LeNet被广泛用于自动取款机（ATM）机中，帮助识别处理支票的数字。 时至今日，一些自动取款机仍在运行Yann LeCun和他的同事Leon Bottou在上世纪90年代写的代码呢！,凑合,,,其他都对，主要是证据不太对，证据和svm无关
